frame_id,track_id_a,track_id_b,stage,score_total,score_traj,score_rel,score_y,score_size,score_center,score_temp,score_support,conf_a,conf_b,boxh_a_ratio,boxh_b_ratio,y_a_ratio,y_b_ratio,consecutive_hits
10,1,4,core,0.756787,0.729436,0.726944,0.959456,0.789502,0.357414,0.5,0.0,0.8632,0.8558,0.112833,0.103875,0.787069,0.789139,3
11,1,4,core,0.798331,0.758456,0.833087,0.959189,0.79245,0.36007,0.6,0.0,0.8647,0.8634,0.111903,0.103153,0.784403,0.786486,4
12,1,4,core,0.809602,0.756002,0.824558,0.966679,0.801226,0.362945,0.7,0.0,0.8639,0.8657,0.111472,0.103153,0.781611,0.783306,5
13,1,4,core,0.824527,0.753236,0.848983,0.941242,0.828517,0.365641,0.8,0.0,0.8719,0.8652,0.110944,0.103875,0.778292,0.781319,6
14,1,4,core,0.828474,0.768687,0.824485,0.937067,0.821889,0.368094,0.9,0.0,0.8776,0.8638,0.110736,0.103389,0.775542,0.778792,7
14,4,14,core,0.83497,0.721001,0.85262,0.907606,0.995453,0.753453,0.5,0.0,0.81,0.7829,0.043569,0.0435,0.483708,0.488556,3
15,1,4,core,0.827444,0.747846,0.819873,0.923629,0.804091,0.371461,1.0,0.0,0.8708,0.8605,0.110014,0.101931,0.772347,0.776319,8
15,4,14,core,0.842078,0.710587,0.858386,0.928001,0.955798,0.75468,0.6,0.0,0.8174,0.7898,0.044236,0.043542,0.484847,0.488583,4
16,1,4,core,0.821591,0.743118,0.823562,0.905592,0.795718,0.37382,1.0,0.0,0.8731,0.857,0.108236,0.099917,0.767958,0.772917,9
16,4,14,core,0.846927,0.702678,0.878516,0.939152,0.896506,0.756141,0.7,0.0,0.833,0.7952,0.044056,0.042403,0.485111,0.48825,5
17,1,4,core,0.760769,0.744649,0.608489,0.866225,0.807971,0.375977,1.0,0.0,0.8648,0.8553,0.106417,0.098764,0.762875,0.770056,10
17,4,14,core,0.85201,0.734767,0.860117,0.956529,0.848881,0.757148,0.8,0.0,0.8281,0.7952,0.044361,0.041889,0.485625,0.487847,6
17,5,7,core,0.747317,0.519636,0.782674,0.895585,0.851816,0.588859,0.5,0.0,0.8053,0.823,0.050514,0.053431,0.522889,0.528403,3
18,1,4,core,0.756099,0.725432,0.601983,0.885936,0.7819,0.378484,1.0,0.0,0.8561,0.8636,0.106389,0.097611,0.760722,0.766778,11
18,4,14,core,0.864966,0.71048,0.85963,0.970446,0.864768,0.758438,0.9,0.0,0.8192,0.8013,0.044819,0.042597,0.486556,0.488056,7
19,1,4,core,0.80892,0.721085,0.788114,0.91089,0.784613,0.381672,1.0,0.0,0.8527,0.8654,0.105625,0.097028,0.758222,0.762889,12
19,4,14,core,0.880358,0.71703,0.867545,0.991701,0.850069,0.75957,1.0,0.0,0.8274,0.803,0.045486,0.042972,0.487542,0.487958,8
20,1,4,core,0.815819,0.745767,0.783862,0.910637,0.805553,0.384367,1.0,0.0,0.8649,0.8696,0.104806,0.097167,0.75525,0.759931,13
20,4,14,core,0.861067,0.697033,0.840214,0.982652,0.813806,0.76068,1.0,0.0,0.8186,0.795,0.046514,0.043278,0.488833,0.487958,9
21,1,4,core,0.795132,0.732824,0.686836,0.914693,0.827236,0.387578,1.0,0.0,0.8659,0.8591,0.104014,0.097333,0.752403,0.756861,14
21,4,14,core,0.865933,0.734771,0.86118,0.960256,0.811341,0.761797,1.0,0.0,0.8217,0.7915,0.046847,0.043542,0.489861,0.487833,10
22,4,14,core,0.8692,0.76077,0.864905,0.951758,0.81373,0.763445,1.0,0.0,0.8093,0.7967,0.047292,0.044,0.490389,0.487917,11
23,4,14,core,0.865271,0.716128,0.874812,0.939413,0.830313,0.764664,1.0,0.0,0.8092,0.7896,0.047611,0.044611,0.490889,0.487764,12
24,4,14,core,0.861058,0.752838,0.87078,0.917492,0.813938,0.765539,1.0,0.0,0.82,0.7821,0.048347,0.044986,0.491958,0.487653,13
24,5,8,core,0.763772,0.614862,0.652417,0.896083,0.964901,0.828758,0.5,0.0,0.8027,0.8202,0.049667,0.050292,0.510042,0.515528,3
24,25,26,core,0.757828,0.769516,0.857475,0.638692,0.892006,0.799148,0.5,0.0,0.8723,0.8774,0.131417,0.126264,0.779917,0.802333,3
25,4,14,core,0.803299,0.758024,0.672514,0.888647,0.80483,0.766789,1.0,0.0,0.8188,0.7853,0.049347,0.045736,0.493333,0.487431,14
25,5,8,core,0.795205,0.616749,0.768845,0.864302,0.964897,0.828531,0.6,0.0,0.8008,0.8131,0.051403,0.050764,0.50825,0.515542,4
25,25,26,core,0.797291,0.770071,0.94218,0.644573,0.923131,0.809328,0.6,0.0,0.8744,0.8753,0.128292,0.12475,0.768097,0.790056,4
26,4,14,core,0.784264,0.750928,0.667866,0.872746,0.74038,0.767922,1.0,0.0,0.8176,0.7912,0.050347,0.045319,0.494292,0.487486,15
26,5,8,core,0.782475,0.596649,0.690481,0.845777,0.987581,0.827945,0.7,0.0,0.7597,0.8138,0.050694,0.050917,0.507167,0.515542,5
26,25,26,core,0.817365,0.794277,0.925919,0.639224,0.979912,0.819094,0.7,0.0,0.8727,0.8826,0.123639,0.122764,0.755361,0.777736,5
27,4,14,core,0.789217,0.796836,0.67713,0.852381,0.744368,0.768805,1.0,0.0,0.8208,0.7826,0.050792,0.045806,0.495361,0.487375,16
27,5,8,core,0.770355,0.611544,0.680911,0.815326,0.915879,0.827766,0.8,0.0,0.7639,0.811,0.049806,0.051361,0.505389,0.515597,6
27,25,26,core,0.844332,0.8606,0.945938,0.632688,0.996022,0.827633,0.8,0.0,0.8635,0.8662,0.119375,0.119542,0.743167,0.766056,6
28,4,14,core,0.812095,0.731471,0.832363,0.829029,0.742697,0.769734,1.0,0.0,0.8161,0.7816,0.050708,0.045694,0.496542,0.487167,17
28,5,8,core,0.783521,0.669473,0.684008,0.79167,0.91403,0.827492,0.9,0.0,0.7801,0.8092,0.049972,0.051569,0.503792,0.515472,7
28,6,1,core,0.768487,0.750864,0.71299,0.929807,0.841675,0.536453,0.5,0.0,0.883,0.8682,0.104861,0.098722,0.663681,0.667319,3
28,25,26,core,0.836071,0.789072,0.943364,0.622231,0.972585,0.835898,0.9,0.0,0.8736,0.8655,0.115069,0.116194,0.730972,0.754694,7
29,4,14,core,0.834008,0.734508,0.878507,0.819641,0.803794,0.770719,1.0,0.0,0.8201,0.7776,0.049444,0.045806,0.497014,0.487069,18
29,5,8,core,0.771441,0.644492,0.658955,0.769981,0.880915,0.827008,1.0,0.0,0.7859,0.8071,0.048972,0.051194,0.502264,0.515333,8
29,6,1,core,0.789591,0.785761,0.73026,0.923886,0.857397,0.534219,0.6,0.0,0.8786,0.8662,0.105972,0.100417,0.667611,0.671569,4
29,25,26,core,0.823351,0.778108,0.819059,0.650148,0.985653,0.844055,1.0,0.0,0.8643,0.859,0.112306,0.112875,0.721097,0.742625,8
30,4,14,core,0.775351,0.736745,0.662674,0.806541,0.794881,0.771187,1.0,0.0,0.8409,0.7822,0.049472,0.045653,0.498028,0.487278,19
30,6,1,core,0.812204,0.791098,0.755078,0.914439,0.897832,0.531883,0.7,0.0,0.8726,0.86,0.107306,0.103333,0.671444,0.675917,5
30,25,26,core,0.835057,0.818855,0.811069,0.669204,0.997811,0.851961,1.0,0.0,0.8594,0.849,0.108681,0.108597,0.710069,0.730153,9
