frame_id,track_id_a,track_id_b,score_total,score_traj,score_rel,score_region,score_temp,conf_a,conf_b,consecutive_hits
45,4,6,0.784055,0.743789,0.924637,0.82152,0.5,0.8721,0.8501,3
46,4,6,0.804569,0.782923,0.90346,0.822139,0.6,0.8715,0.8043,4
47,4,6,0.802344,0.756619,0.895716,0.823071,0.7,0.8677,0.8452,5
48,4,6,0.806433,0.774971,0.842798,0.822981,0.8,0.8605,0.8589,6
49,4,6,0.823494,0.762505,0.890371,0.8236,0.9,0.8647,0.8599,7
50,4,6,0.825516,0.745554,0.884774,0.824405,1.0,0.8605,0.8321,8
51,4,6,0.843486,0.786582,0.889708,0.825703,1.0,0.8612,0.8124,9
52,4,6,0.832386,0.751224,0.901106,0.826478,1.0,0.8675,0.7888,10
53,4,6,0.824469,0.75769,0.858479,0.827091,1.0,0.8688,0.6313,11
328,60,70,0.739858,0.685182,0.830071,0.833071,0.5,0.7884,0.8211,3
329,60,70,0.755932,0.694203,0.839501,0.833504,0.6,0.7925,0.8104,4
330,60,70,0.783174,0.700776,0.897403,0.83405,0.7,0.7906,0.8239,5
331,60,70,0.78508,0.688205,0.884157,0.835036,0.8,0.7915,0.8179,6
332,60,70,0.769151,0.625532,0.879982,0.835769,0.9,0.7986,0.8199,7
333,60,70,0.77716,0.620829,0.878643,0.836671,1.0,0.8099,0.8344,8
334,60,70,0.773902,0.610668,0.881114,0.837428,1.0,0.8134,0.8152,9
335,60,70,0.78843,0.645139,0.883474,0.838023,1.0,0.8115,0.7987,10
336,60,70,0.777891,0.618717,0.883262,0.838353,1.0,0.8042,0.7574,11
337,60,70,0.774441,0.601008,0.899199,0.836953,1.0,0.7824,0.7353,12
338,60,70,0.772792,0.594122,0.905321,0.835252,1.0,0.7933,0.785,13
339,60,70,0.792364,0.633423,0.92089,0.83509,1.0,0.782,0.7599,14
340,60,70,0.750268,0.564777,0.860639,0.836791,1.0,0.7751,0.7437,15
341,60,70,0.761,0.588299,0.863214,0.839507,1.0,0.7701,0.7502,16
342,60,70,0.768461,0.609011,0.86032,0.839105,1.0,0.7788,0.7373,17
343,60,70,0.787172,0.614231,0.923333,0.842584,1.0,0.8008,0.7456,18
344,60,70,0.781215,0.596249,0.926168,0.844693,1.0,0.8034,0.7111,19
345,60,70,0.7499,0.522903,0.916963,0.845992,1.0,0.8032,0.7299,20
346,60,70,0.768063,0.573031,0.910421,0.844982,1.0,0.8044,0.7007,21
347,60,70,0.764478,0.566086,0.906863,0.845312,1.0,0.804,0.7054,22
348,60,70,0.757028,0.543334,0.914643,0.844135,1.0,0.7975,0.6836,23
349,60,70,0.770754,0.578383,0.913967,0.843636,1.0,0.794,0.678,24
350,60,70,0.743755,0.512437,0.911263,0.843858,1.0,0.7939,0.6895,25
351,60,70,0.752031,0.541263,0.901845,0.840258,1.0,0.7745,0.6773,26
560,115,121,0.747432,0.685795,0.854789,0.837668,0.5,0.852,0.8319,3
