frame_id,track_id_a,track_id_b,score_total,score_geom,score_reid,score_fused_pair,score_temp,score_center,num_valid_a,num_valid_b,best_total_score
1,1,12,0.700999,0.700999,0.781184,0.700999,0.0,0.0,10,12,7.016328
1,5,13,0.674295,0.619978,0.736042,0.619978,0.054316,0.0,10,12,7.016328
1,10,21,0.65204,0.58191,0.888615,0.58191,0.070129,0.0,10,12,7.016328
1,4,9,0.693074,0.625042,0.961699,0.625042,0.068033,0.0,10,12,7.016328
1,2,1,0.882184,0.716793,0.669543,0.716793,0.165391,0.0,10,12,7.016328
1,3,5,0.726985,0.565797,0.979405,0.565797,0.161187,0.0,10,12,7.016328
1,6,2,0.751114,0.643806,0.58882,0.643806,0.107308,0.0,10,12,7.016328
1,7,7,0.933706,0.771514,0.872506,0.771514,0.162192,0.0,10,12,7.016328
1,8,3,1.001931,0.835097,0.933552,0.835097,0.166834,0.0,10,12,7.016328
2,1,12,0.702635,0.702635,0.778379,0.702635,0.0,0.0,10,12,6.123384
2,5,13,0.67561,0.616767,0.734049,0.616767,0.058843,0.0,10,12,6.123384
2,11,9,0.526859,0.566297,0.912432,0.566297,-0.039439,0.0,10,12,6.123384
2,2,1,0.819269,0.688595,0.708327,0.688595,0.130674,0.0,10,12,6.123384
2,3,5,0.730266,0.570128,0.979189,0.570128,0.160138,0.0,10,12,6.123384
2,6,2,0.748356,0.640741,0.585887,0.640741,0.107615,0.0,10,12,6.123384
2,7,7,0.932405,0.772398,0.874968,0.772398,0.160008,0.0,10,12,6.123384
2,8,3,0.987984,0.824772,0.934163,0.824772,0.163213,0.0,10,12,6.123384
3,1,12,0.704598,0.704598,0.775922,0.704598,0.0,0.0,10,12,6.848374
3,5,13,0.679515,0.616919,0.739716,0.616919,0.062596,0.0,10,12,6.848374
3,4,21,0.607014,0.552263,0.924543,0.552263,0.054751,0.0,10,12,6.848374
3,11,9,0.659213,0.591009,0.921347,0.591009,0.068204,0.0,10,12,6.848374
3,2,1,0.822673,0.685723,0.711504,0.685723,0.136949,0.0,10,12,6.848374
3,3,5,0.728063,0.570099,0.983039,0.570099,0.157964,0.0,10,12,6.848374
3,6,2,0.735916,0.637236,0.601767,0.637236,0.09868,0.0,10,12,6.848374
3,7,7,0.926389,0.770257,0.873205,0.770257,0.156132,0.0,10,12,6.848374
3,8,3,0.984994,0.822637,0.936092,0.822637,0.162357,0.0,10,12,6.848374
4,1,12,0.741466,0.741466,0.773933,0.741466,0.0,0.0,10,12,6.117157
4,5,13,0.675557,0.611955,0.749081,0.611955,0.063602,0.0,10,12,6.117157
4,11,9,0.631352,0.627795,0.927244,0.627795,0.003558,0.0,10,12,6.117157
4,2,1,0.77267,0.626147,0.732974,0.626147,0.146523,0.0,10,12,6.117157
4,3,5,0.685149,0.567255,0.986871,0.567255,0.117894,0.0,10,12,6.117157
4,6,2,0.751079,0.650227,0.615026,0.650227,0.100853,0.0,10,12,6.117157
4,7,7,0.915938,0.758415,0.868793,0.758415,0.157523,0.0,10,12,6.117157
4,8,3,0.943945,0.799774,0.938455,0.799774,0.144172,0.0,10,12,6.117157
5,1,12,0.744607,0.744607,0.772566,0.744607,0.0,0.0,9,12,5.365705
5,5,13,0.646884,0.600774,0.775391,0.600774,0.04611,0.0,9,12,5.365705
5,2,6,0.801748,0.668174,0.691368,0.668174,0.133573,0.0,9,12,5.365705
5,3,1,0.618878,0.576081,0.843166,0.576081,0.042798,0.0,9,12,5.365705
5,6,2,0.724647,0.652408,0.648962,0.652408,0.072239,0.0,9,12,5.365705
5,7,7,0.88081,0.733241,0.889687,0.733241,0.14757,0.0,9,12,5.365705
5,8,3,0.948131,0.806402,0.941148,0.806402,0.141729,0.0,9,12,5.365705
6,1,12,0.686219,0.686219,0.779936,0.686219,0.0,0.0,9,12,6.874265
6,5,21,0.590001,0.594935,0.715793,0.594935,-0.004934,0.0,9,12,6.874265
6,4,6,0.647624,0.581481,0.684662,0.581481,0.066142,0.0,9,12,6.874265
6,15,9,0.741692,0.64543,0.955921,0.64543,0.096262,0.0,9,12,6.874265
6,2,1,0.69922,0.635028,0.776775,0.635028,0.064191,0.0,9,12,6.874265
6,3,5,0.767632,0.647614,0.985199,0.647614,0.120018,0.0,9,12,6.874265
6,6,2,0.906133,0.742106,0.684747,0.742106,0.164027,0.0,9,12,6.874265
6,7,7,0.895112,0.751574,0.903413,0.751574,0.143538,0.0,9,12,6.874265
6,8,3,0.940632,0.798054,0.944743,0.798054,0.142577,0.0,9,12,6.874265
7,1,12,0.732087,0.732087,0.785149,0.732087,0.0,0.0,10,12,6.371161
7,5,13,0.675843,0.605832,0.801356,0.605832,0.070011,0.0,10,12,6.371161
7,4,9,0.679459,0.676178,0.972664,0.676178,0.003281,0.0,10,12,6.371161
7,2,1,0.734011,0.648127,0.794442,0.648127,0.085884,0.0,10,12,6.371161
7,3,5,0.798135,0.665866,0.984449,0.665866,0.132269,0.0,10,12,6.371161
7,6,2,0.914225,0.731289,0.720178,0.731289,0.182937,0.0,10,12,6.371161
7,7,7,0.889078,0.737909,0.916035,0.737909,0.151169,0.0,10,12,6.371161
7,8,3,0.948323,0.789351,0.949244,0.789351,0.158972,0.0,10,12,6.371161
8,1,12,0.737991,0.737991,0.786917,0.737991,0.0,0.0,10,12,6.292819
8,5,13,0.684108,0.617502,0.815222,0.617502,0.066606,0.0,10,12,6.292819
8,4,9,0.67388,0.667394,0.968799,0.667394,0.006486,0.0,10,12,6.292819
8,2,1,0.713099,0.626644,0.812097,0.626644,0.086455,0.0,10,12,6.292819
8,3,5,0.772133,0.641913,0.984951,0.641913,0.13022,0.0,10,12,6.292819
8,6,2,0.891792,0.716543,0.741496,0.716543,0.175249,0.0,10,12,6.292819
8,7,7,0.881103,0.728214,0.908544,0.728214,0.15289,0.0,10,12,6.292819
8,8,3,0.938713,0.781244,0.95366,0.781244,0.157468,0.0,10,12,6.292819
9,1,12,0.784974,0.784974,0.786923,0.784974,0.0,0.0,9,12,6.001954
9,5,21,0.619961,0.607163,0.715117,0.607163,0.012799,0.0,9,12,6.001954
9,15,9,0.64284,0.5972,0.958699,0.5972,0.04564,0.0,9,12,6.001954
9,2,1,0.672558,0.582737,0.829878,0.582737,0.089821,0.0,9,12,6.001954
9,3,5,0.699205,0.594257,0.981687,0.594257,0.104948,0.0,9,12,6.001954
9,6,2,0.823048,0.667931,0.755798,0.667931,0.155116,0.0,9,12,6.001954
9,7,7,0.842376,0.698215,0.900369,0.698215,0.144161,0.0,9,12,6.001954
9,8,3,0.916992,0.771314,0.958234,0.771314,0.145678,0.0,9,12,6.001954
10,1,12,0.760707,0.760707,0.787489,0.760707,0.0,0.0,9,13,5.89408
10,5,13,0.656828,0.605452,0.837754,0.605452,0.051376,0.0,9,13,5.89408
10,15,9,0.54033,0.601671,0.962471,0.601671,-0.061341,0.0,9,13,5.89408
10,2,1,0.633861,0.586604,0.856029,0.586604,0.047258,0.0,9,13,5.89408
10,3,5,0.693964,0.600832,0.979271,0.600832,0.093132,0.0,9,13,5.89408
10,6,2,0.838758,0.689701,0.78411,0.689701,0.149057,0.0,9,13,5.89408
10,7,7,0.850549,0.714445,0.892042,0.714445,0.136103,0.0,9,13,5.89408
10,8,3,0.919083,0.781641,0.96124,0.781641,0.137443,0.0,9,13,5.89408
11,1,12,0.750471,0.750471,0.786756,0.750471,0.0,0.0,10,13,6.242465
11,5,13,0.695324,0.629741,0.840797,0.629741,0.065583,0.0,10,13,6.242465
11,25,26,0.744765,0.681309,0.881289,0.681309,0.063456,0.0,10,13,6.242465
11,2,6,0.797344,0.693672,0.87664,0.693672,0.103672,0.0,10,13,6.242465
11,3,5,0.613305,0.654518,0.977892,0.654518,-0.041213,0.0,10,13,6.242465
11,6,2,0.794354,0.658801,0.791169,0.658801,0.135553,0.0,10,13,6.242465
11,7,7,0.889528,0.742549,0.892318,0.742549,0.146978,0.0,10,13,6.242465
11,8,3,0.957375,0.802502,0.963742,0.802502,0.154873,0.0,10,13,6.242465
12,1,12,0.763813,0.763813,0.786188,0.763813,0.0,0.0,10,13,6.251313
12,5,13,0.704583,0.63321,0.842448,0.63321,0.071373,0.0,10,13,6.251313
12,25,26,0.75017,0.687371,0.901017,0.687371,0.0628,0.0,10,13,6.251313
12,2,1,0.636044,0.554347,0.894115,0.554347,0.081697,0.0,10,13,6.251313
12,3,5,0.770062,0.657593,0.974059,0.657593,0.112469,0.0,10,13,6.251313
12,6,2,0.781336,0.650796,0.798794,0.650796,0.13054,0.0,10,13,6.251313
12,7,7,0.88702,0.744233,0.893277,0.744233,0.142787,0.0,10,13,6.251313
12,8,3,0.958286,0.804454,0.963389,0.804454,0.153831,0.0,10,13,6.251313
13,1,12,0.757477,0.757477,0.794717,0.757477,0.0,0.0,10,13,6.934789
13,5,13,0.695504,0.623463,0.840646,0.623463,0.072041,0.0,10,13,6.934789
13,11,21,0.642047,0.564825,0.95233,0.564825,0.077222,0.0,10,13,6.934789
13,25,26,0.766858,0.69789,0.901728,0.69789,0.068969,0.0,10,13,6.934789
13,2,1,0.651493,0.557865,0.906969,0.557865,0.093629,0.0,10,13,6.934789
13,3,5,0.767327,0.654566,0.974122,0.654566,0.112761,0.0,10,13,6.934789
13,6,2,0.784698,0.657597,0.81338,0.657597,0.127102,0.0,10,13,6.934789
13,7,7,0.897175,0.751957,0.90657,0.751957,0.145218,0.0,10,13,6.934789
13,8,3,0.972209,0.814549,0.960964,0.814549,0.15766,0.0,10,13,6.934789
14,1,12,0.787049,0.787049,0.799267,0.787049,0.0,0.0,10,13,7.345852
14,5,13,0.734852,0.661911,0.849329,0.661911,0.072941,0.0,10,13,7.345852
14,4,21,0.775232,0.686641,0.911829,0.686641,0.088591,0.0,10,13,7.345852
14,25,26,0.840313,0.743172,0.920897,0.743172,0.097141,0.0,10,13,7.345852
14,2,1,0.714665,0.608502,0.922778,0.608502,0.106164,0.0,10,13,7.345852
14,3,5,0.750216,0.639389,0.971557,0.639389,0.110826,0.0,10,13,7.345852
14,6,2,0.839438,0.689702,0.817502,0.689702,0.149736,0.0,10,13,7.345852
14,7,7,0.900911,0.757809,0.917096,0.757809,0.143102,0.0,10,13,7.345852
14,8,3,1.003176,0.846394,0.962594,0.846394,0.156782,0.0,10,13,7.345852
15,1,12,0.792503,0.792503,0.800202,0.792503,0.0,0.0,10,13,7.356137
15,5,13,0.733811,0.659421,0.839788,0.659421,0.074391,0.0,10,13,7.356137
15,4,21,0.775707,0.68656,0.927067,0.68656,0.089148,0.0,10,13,7.356137
15,25,26,0.819617,0.719485,0.927243,0.719485,0.100132,0.0,10,13,7.356137
15,2,1,0.731622,0.616851,0.935854,0.616851,0.114771,0.0,10,13,7.356137
15,3,5,0.744939,0.636348,0.968276,0.636348,0.108591,0.0,10,13,7.356137
15,6,2,0.836619,0.688969,0.822192,0.688969,0.14765,0.0,10,13,7.356137
15,7,7,0.903387,0.762318,0.923605,0.762318,0.14107,0.0,10,13,7.356137
15,8,3,1.017931,0.860479,0.961834,0.860479,0.157453,0.0,10,13,7.356137
16,5,21,0.580614,0.580614,0.781515,0.580614,0.0,0.0,11,13,7.018027
16,28,27,0.680195,0.559534,0.693826,0.559534,0.120661,0.0,11,13,7.018027
16,25,26,0.808858,0.764242,0.939669,0.764242,0.044616,0.0,11,13,7.018027
16,11,6,0.678874,0.615804,0.702984,0.615804,0.06307,0.0,11,13,7.018027
16,2,1,0.687098,0.611567,0.944961,0.611567,0.075531,0.0,11,13,7.018027
16,3,5,0.732582,0.634665,0.962656,0.634665,0.097917,0.0,11,13,7.018027
16,6,2,0.860096,0.703446,0.82552,0.703446,0.15665,0.0,11,13,7.018027
16,7,7,0.946021,0.7908,0.927852,0.7908,0.155221,0.0,11,13,7.018027
16,8,3,1.043689,0.872398,0.964436,0.872398,0.171291,0.0,11,13,7.018027
17,5,21,0.576407,0.576407,0.817851,0.576407,0.0,0.0,11,13,7.041012
17,28,27,0.668849,0.570477,0.694226,0.570477,0.098372,0.0,11,13,7.041012
17,25,26,0.81208,0.756727,0.94869,0.756727,0.055353,0.0,11,13,7.041012
17,11,6,0.707245,0.634849,0.694817,0.634849,0.072397,0.0,11,13,7.041012
17,2,1,0.68878,0.60644,0.949104,0.60644,0.082341,0.0,11,13,7.041012
17,3,5,0.731549,0.632094,0.962917,0.632094,0.099455,0.0,11,13,7.041012
17,6,2,0.864128,0.705732,0.830538,0.705732,0.158396,0.0,11,13,7.041012
17,7,7,0.946003,0.790055,0.930674,0.790055,0.155947,0.0,11,13,7.041012
17,8,3,1.045971,0.872199,0.961864,0.872199,0.173772,0.0,11,13,7.041012
18,1,12,0.771545,0.771545,0.85293,0.771545,0.0,0.0,11,13,7.932712
18,5,21,0.648794,0.56774,0.845407,0.56774,0.081054,0.0,11,13,7.932712
18,28,27,0.695527,0.57781,0.705391,0.57781,0.117717,0.0,11,13,7.932712
18,25,26,0.79415,0.746777,0.951266,0.746777,0.047373,0.0,11,13,7.932712
18,11,6,0.724032,0.644083,0.68814,0.644083,0.07995,0.0,11,13,7.932712
18,2,1,0.69641,0.60756,0.95096,0.60756,0.088849,0.0,11,13,7.932712
18,3,5,0.728119,0.630769,0.960699,0.630769,0.09735,0.0,11,13,7.932712
18,6,2,0.87648,0.710721,0.833883,0.710721,0.165759,0.0,11,13,7.932712
18,7,7,0.949465,0.795499,0.942968,0.795499,0.153966,0.0,11,13,7.932712
18,8,3,1.048189,0.874438,0.958633,0.874438,0.173751,0.0,11,13,7.932712
19,1,12,0.783681,0.783681,0.863619,0.783681,0.0,0.0,11,13,7.929866
19,5,21,0.640211,0.560955,0.865045,0.560955,0.079256,0.0,11,13,7.929866
19,28,27,0.71534,0.594648,0.737253,0.594648,0.120692,0.0,11,13,7.929866
19,25,26,0.797117,0.74321,0.95947,0.74321,0.053907,0.0,11,13,7.929866
19,11,6,0.714203,0.641724,0.698888,0.641724,0.072479,0.0,11,13,7.929866
19,2,1,0.701755,0.609331,0.946443,0.609331,0.092424,0.0,11,13,7.929866
19,3,5,0.716772,0.625193,0.956218,0.625193,0.091579,0.0,11,13,7.929866
19,6,2,0.865349,0.705951,0.860673,0.705951,0.159398,0.0,11,13,7.929866
19,7,7,0.946111,0.795646,0.943551,0.795646,0.150465,0.0,11,13,7.929866
19,8,3,1.049328,0.875378,0.954533,0.875378,0.17395,0.0,11,13,7.929866
20,1,12,0.781001,0.781001,0.873013,0.781001,0.0,0.0,11,13,7.949245
20,5,21,0.640096,0.566591,0.8759,0.566591,0.073506,0.0,11,13,7.949245
20,28,27,0.707644,0.609391,0.766082,0.609391,0.098254,0.0,11,13,7.949245
20,25,26,0.79185,0.738548,0.966204,0.738548,0.053301,0.0,11,13,7.949245
20,11,6,0.730663,0.649493,0.744783,0.649493,0.08117,0.0,11,13,7.949245
20,2,1,0.706107,0.607339,0.940234,0.607339,0.098768,0.0,11,13,7.949245
20,3,5,0.72618,0.630196,0.950466,0.630196,0.095984,0.0,11,13,7.949245
20,6,2,0.872151,0.709135,0.879078,0.709135,0.163015,0.0,11,13,7.949245
20,7,7,0.946034,0.795759,0.944382,0.795759,0.150275,0.0,11,13,7.949245
20,8,3,1.04752,0.873094,0.949925,0.873094,0.174426,0.0,11,13,7.949245
21,1,12,0.785782,0.785782,0.881785,0.785782,0.0,0.0,11,14,7.855266
21,5,13,0.6796,0.56825,0.841326,0.56825,0.11135,0.0,11,14,7.855266
21,4,21,0.740251,0.616491,0.9326,0.616491,0.12376,0.0,11,14,7.855266
21,25,26,0.742314,0.677266,0.972047,0.677266,0.065048,0.0,11,14,7.855266
21,11,6,0.694441,0.614403,0.777149,0.614403,0.080038,0.0,11,14,7.855266
21,2,1,0.709279,0.607352,0.939709,0.607352,0.101927,0.0,11,14,7.855266
21,3,5,0.704076,0.600694,0.955493,0.600694,0.103382,0.0,11,14,7.855266
21,6,2,0.853317,0.694872,0.889965,0.694872,0.158445,0.0,11,14,7.855266
21,7,7,0.918762,0.776038,0.94514,0.776038,0.142724,0.0,11,14,7.855266
21,8,3,1.027443,0.861494,0.952718,0.861494,0.165949,0.0,11,14,7.855266
22,1,12,0.782407,0.782407,0.888975,0.782407,0.0,0.0,11,14,7.854471
22,5,13,0.686513,0.571739,0.832545,0.571739,0.114774,0.0,11,14,7.854471
22,4,21,0.731525,0.617415,0.93246,0.617415,0.11411,0.0,11,14,7.854471
22,25,26,0.736965,0.663726,0.9748,0.663726,0.073239,0.0,11,14,7.854471
22,11,6,0.718546,0.625299,0.805212,0.625299,0.093247,0.0,11,14,7.854471
22,2,1,0.7151,0.6094,0.937889,0.6094,0.1057,0.0,11,14,7.854471
22,3,5,0.699727,0.599844,0.957974,0.599844,0.099883,0.0,11,14,7.854471
22,6,2,0.847692,0.692415,0.906073,0.692415,0.155277,0.0,11,14,7.854471
22,7,7,0.916053,0.777861,0.94708,0.777861,0.138192,0.0,11,14,7.854471
22,8,3,1.019944,0.857693,0.959249,0.857693,0.162251,0.0,11,14,7.854471
23,1,4,0.65297,0.65297,0.965519,0.65297,0.0,0.0,12,14,7.273148
23,28,27,0.746538,0.640851,0.79408,0.640851,0.105687,0.0,12,14,7.273148
23,4,6,0.849111,0.706451,0.773327,0.706451,0.142661,0.0,12,14,7.273148
23,25,26,0.833472,0.680706,0.978576,0.680706,0.152766,0.0,12,14,7.273148
23,11,8,0.702138,0.614442,0.980666,0.614442,0.087697,0.0,12,14,7.273148
23,3,5,0.695433,0.636612,0.960151,0.636612,0.058821,0.0,12,14,7.273148
23,6,2,0.869545,0.70768,0.918181,0.70768,0.161865,0.0,12,14,7.273148
23,7,7,0.916719,0.766291,0.949828,0.766291,0.150428,0.0,12,14,7.273148
23,8,3,1.007223,0.836091,0.970371,0.836091,0.171131,0.0,12,14,7.273148
24,1,4,0.651691,0.651691,0.965677,0.651691,0.0,0.0,13,13,7.801092
24,28,27,0.792049,0.677113,0.804137,0.677113,0.114936,0.0,13,13,7.801092
24,4,6,0.954534,0.787158,0.785831,0.787158,0.167377,0.0,13,13,7.801092
24,25,26,0.924303,0.73987,0.97965,0.73987,0.184433,0.0,13,13,7.801092
24,11,8,0.793685,0.648893,0.978274,0.648893,0.144793,0.0,13,13,7.801092
24,3,5,0.748264,0.683103,0.959335,0.683103,0.065161,0.0,13,13,7.801092
24,6,2,0.927024,0.754345,0.920301,0.754345,0.172679,0.0,13,13,7.801092
24,7,7,0.973497,0.808251,0.954974,0.808251,0.165246,0.0,13,13,7.801092
24,8,3,1.036045,0.852253,0.978308,0.852253,0.183792,0.0,13,13,7.801092
25,1,4,0.668755,0.668755,0.966246,0.668755,0.0,0.0,12,13,7.614202
25,28,27,0.796321,0.694599,0.797472,0.694599,0.101721,0.0,12,13,7.614202
25,4,6,0.958827,0.79501,0.796836,0.79501,0.163818,0.0,12,13,7.614202
25,25,26,0.925488,0.744385,0.979888,0.744385,0.181104,0.0,12,13,7.614202
25,11,8,0.700444,0.625784,0.969567,0.625784,0.07466,0.0,12,13,7.614202
25,3,5,0.711731,0.660673,0.955689,0.660673,0.051057,0.0,12,13,7.614202
25,6,2,0.891077,0.733335,0.932531,0.733335,0.157742,0.0,12,13,7.614202
25,7,7,0.941236,0.782843,0.959159,0.782843,0.158392,0.0,12,13,7.614202
25,8,3,1.020323,0.841798,0.983843,0.841798,0.178525,0.0,12,13,7.614202
26,5,21,0.563994,0.563994,0.867689,0.563994,0.0,0.0,12,13,6.319882
26,28,27,0.720544,0.637713,0.809566,0.637713,0.082831,0.0,12,13,6.319882
26,4,6,0.914579,0.754887,0.806743,0.754887,0.159692,0.0,12,13,6.319882
26,25,26,0.900411,0.715351,0.980913,0.715351,0.18506,0.0,12,13,6.319882
26,11,8,0.806364,0.668334,0.956718,0.668334,0.13803,0.0,12,13,6.319882
26,3,5,0.685889,0.630485,0.948468,0.630485,0.055404,0.0,12,13,6.319882
26,7,7,0.802859,0.74334,0.961822,0.74334,0.059519,0.0,12,13,6.319882
26,8,3,0.925241,0.82769,0.98729,0.82769,0.097551,0.0,12,13,6.319882
27,5,21,0.572033,0.572033,0.859012,0.572033,0.0,0.0,12,13,6.366382
27,28,27,0.733636,0.646808,0.816144,0.646808,0.086828,0.0,12,13,6.366382
27,4,6,0.91486,0.755109,0.825522,0.755109,0.159751,0.0,12,13,6.366382
27,25,26,0.911849,0.721414,0.980622,0.721414,0.190435,0.0,12,13,6.366382
27,11,8,0.808213,0.66624,0.943048,0.66624,0.141973,0.0,12,13,6.366382
27,3,5,0.692646,0.636166,0.941893,0.636166,0.056481,0.0,12,13,6.366382
27,7,7,0.803766,0.739135,0.959528,0.739135,0.064631,0.0,12,13,6.366382
27,8,3,0.929379,0.830329,0.988721,0.830329,0.09905,0.0,12,13,6.366382
28,5,21,0.585926,0.585926,0.868731,0.585926,0.0,0.0,11,13,6.267548
28,28,27,0.764599,0.669389,0.838746,0.669389,0.09521,0.0,11,13,6.267548
28,4,6,0.916128,0.76061,0.842752,0.76061,0.155518,0.0,11,13,6.267548
28,25,26,0.913275,0.737385,0.976765,0.737385,0.17589,0.0,11,13,6.267548
28,11,8,0.743081,0.642907,0.929694,0.642907,0.100174,0.0,11,13,6.267548
28,3,5,0.66025,0.610171,0.933532,0.610171,0.050079,0.0,11,13,6.267548
28,7,7,0.791403,0.721955,0.952573,0.721955,0.069447,0.0,11,13,6.267548
28,8,3,0.892886,0.80734,0.989473,0.80734,0.085547,0.0,11,13,6.267548
29,5,21,0.577389,0.577389,0.875687,0.577389,0.0,0.0,11,13,6.35319
29,28,27,0.78686,0.678356,0.860925,0.678356,0.108504,0.0,11,13,6.35319
29,4,6,0.933697,0.772186,0.84621,0.772186,0.16151,0.0,11,13,6.35319
29,25,26,0.92951,0.750414,0.977156,0.750414,0.179096,0.0,11,13,6.35319
29,11,8,0.752499,0.653844,0.927412,0.653844,0.098655,0.0,11,13,6.35319
29,3,5,0.670851,0.61109,0.937711,0.61109,0.059761,0.0,11,13,6.35319
29,7,7,0.79762,0.723334,0.942048,0.723334,0.074286,0.0,11,13,6.35319
29,8,3,0.904765,0.81639,0.988818,0.81639,0.088375,0.0,11,13,6.35319
30,5,13,0.57357,0.57357,0.868296,0.57357,0.0,0.0,11,13,5.228677
30,25,4,0.751098,0.618008,0.923809,0.618008,0.13309,0.0,11,13,5.228677
30,11,6,0.779939,0.666138,0.917723,0.666138,0.113801,0.0,11,13,5.228677
30,2,26,0.749261,0.621952,0.905371,0.621952,0.12731,0.0,11,13,5.228677
30,3,5,0.684526,0.607116,0.941101,0.607116,0.07741,0.0,11,13,5.228677
30,7,7,0.779361,0.702806,0.928779,0.702806,0.076555,0.0,11,13,5.228677
30,8,3,0.910922,0.821914,0.990175,0.821914,0.089008,0.0,11,13,5.228677
31,5,13,0.584957,0.584957,0.858281,0.584957,0.0,0.0,11,13,5.301411
31,25,4,0.746082,0.613999,0.921489,0.613999,0.132083,0.0,11,13,5.301411
31,11,6,0.80467,0.682011,0.924097,0.682011,0.122659,0.0,11,13,5.301411
31,2,26,0.802044,0.65641,0.902987,0.65641,0.145634,0.0,11,13,5.301411
31,3,5,0.673142,0.594628,0.936189,0.594628,0.078514,0.0,11,13,5.301411
31,7,7,0.764562,0.704135,0.914326,0.704135,0.060427,0.0,11,13,5.301411
31,8,3,0.925955,0.832655,0.988587,0.832655,0.0933,0.0,11,13,5.301411
32,5,13,0.588137,0.588137,0.847127,0.588137,0.0,0.0,11,13,5.381013
32,25,4,0.745431,0.610062,0.924394,0.610062,0.135369,0.0,11,13,5.381013
32,11,6,0.83315,0.700009,0.910331,0.700009,0.133141,0.0,11,13,5.381013
32,2,26,0.842822,0.685571,0.904453,0.685571,0.157251,0.0,11,13,5.381013
32,7,8,0.701753,0.616665,0.914063,0.616665,0.085088,0.0,11,13,5.381013
