frame_id,track_id_a,track_id_b,score_total,score_reid,score_pos,score_area,score_h,score_dist,score_rank,score_y,topk_rank_reid,num_valid_a,num_valid_b
1,8,3,0.818609,0.933552,0.870625,0.967964,0.626902,0.77967,1.0,0.74125,1,10,12
1,7,7,0.778151,0.872506,0.854213,0.94881,0.682211,0.611888,0.903924,0.804502,1,10,12
1,2,1,0.707025,0.669543,0.595957,0.955207,0.675431,0.689248,0.383048,0.808866,4,10,12
1,1,4,0.644882,0.910586,0.662632,0.71884,0.940752,0.32417,0.40289,0.922374,1,10,12
1,12,16,0.64408,0.902353,0.671503,0.680368,0.262776,0.881699,0.346246,0.99676,1,10,12
1,4,9,0.612282,0.961699,0.565914,0.840568,0.821143,0.327481,0.346246,0.785581,1,10,12
1,10,21,0.590441,0.888615,0.778797,0.271681,0.975845,0.273427,0.776837,0.780758,2,10,12
1,3,5,0.547694,0.979405,0.580936,0.803741,0.637426,0.224534,0.423761,0.738111,1,10,12
2,8,3,0.808117,0.934163,0.871675,0.955067,0.580242,0.783875,1.0,0.74335,1,10,12
2,7,7,0.791343,0.874968,0.854046,0.98883,0.704292,0.615211,0.903924,0.804168,1,10,12
2,2,1,0.705541,0.708327,0.593541,0.995786,0.675806,0.653932,0.383048,0.804034,1,10,12
2,1,4,0.65935,0.912597,0.670177,0.715014,0.994265,0.33173,0.40289,0.937464,1,10,12
2,4,9,0.615817,0.961608,0.497452,0.854165,0.80908,0.436238,0.19866,0.796244,1,10,12
2,3,5,0.552538,0.979189,0.579924,0.824303,0.628578,0.235954,0.423761,0.736086,1,10,12
2,11,21,0.495183,0.905448,0.679557,0.287511,0.764328,0.187882,0.738577,0.620537,2,10,12
3,8,3,0.810872,0.936092,0.870409,0.984436,0.568899,0.782246,1.0,0.740818,1,10,12
3,7,7,0.795579,0.873205,0.854046,0.97901,0.738047,0.613006,0.903924,0.804168,1,10,12
3,2,1,0.690906,0.711504,0.595486,0.914608,0.677199,0.656499,0.383048,0.807924,1,10,12
3,1,4,0.654144,0.922591,0.671349,0.745893,0.94723,0.322187,0.40289,0.939807,1,10,12
3,4,21,0.610133,0.924543,0.739411,0.369471,0.972924,0.331439,0.776837,0.701986,2,10,12
3,3,5,0.541517,0.983039,0.57657,0.776904,0.624118,0.238053,0.423761,0.729379,1,10,12
3,11,9,0.506066,0.921347,0.528347,0.672709,0.62422,0.247035,0.346246,0.710449,1,10,12
4,7,7,0.778144,0.868793,0.853377,0.927674,0.720934,0.59896,0.903924,0.802831,2,10,12
4,8,3,0.771524,0.938455,0.868656,0.788441,0.466525,0.866003,1.0,0.737313,1,10,12
4,1,4,0.700993,0.929606,0.68015,0.669939,0.993996,0.520612,0.40289,0.957411,1,10,12
4,2,1,0.682472,0.732974,0.703353,0.974159,0.638172,0.455328,0.603475,0.803231,1,10,12
4,4,9,0.647719,0.972271,0.559277,0.711424,0.733942,0.651597,0.31298,0.805574,2,10,12
4,11,8,0.601315,0.952818,0.488335,0.916703,0.671634,0.450921,0.219775,0.756896,1,10,12
4,3,5,0.591041,0.986871,0.577208,0.826924,0.640772,0.381915,0.423761,0.730655,1,10,12
5,8,3,0.775749,0.941148,0.867768,0.730733,0.436943,0.953982,1.0,0.735535,1,9,12
5,2,6,0.732857,0.691368,0.970473,0.782062,0.693276,0.392496,0.944766,0.996179,4,9,12
5,7,7,0.722341,0.889687,0.821456,0.780283,0.599426,0.635561,0.843281,0.79963,1,9,12
5,1,4,0.648949,0.931579,0.69164,0.588835,0.875679,0.455888,0.40289,0.980389,1,9,12
5,15,9,0.643191,0.953152,0.443841,0.745803,0.737759,0.764537,0.359613,0.528068,1,9,12
5,6,1,0.591455,0.708944,0.650845,0.483882,0.842451,0.393571,0.359613,0.942078,2,9,12
6,8,3,0.754702,0.944743,0.867706,0.789005,0.581372,0.707718,1.0,0.735413,1,9,12
6,7,7,0.751183,0.903413,0.821256,0.830662,0.799395,0.550926,0.843281,0.799231,1,9,12
6,4,9,0.731787,0.976856,0.596678,0.910028,0.977159,0.582049,0.359613,0.833742,1,9,12
6,2,1,0.698476,0.776775,0.797901,0.946855,0.743859,0.324274,0.796703,0.799098,1,9,12
6,3,5,0.685995,0.985199,0.658539,0.780984,0.7582,0.59068,0.599677,0.7174,1,9,12
6,15,8,0.633109,0.913859,0.405734,0.733531,0.794196,0.742229,0.27068,0.540787,3,9,12
6,1,4,0.631514,0.939855,0.697137,0.628499,0.8919,0.333747,0.40289,0.991383,1,9,12
7,8,3,0.725705,0.949244,0.866332,0.550185,0.558718,0.802834,1.0,0.732664,1,10,12
7,3,5,0.723919,0.984449,0.725312,0.907656,0.685655,0.605593,0.738577,0.712047,1,10,12
7,6,2,0.71501,0.720178,0.775207,0.821144,0.690137,0.565723,0.817078,0.733335,5,10,12
7,7,7,0.707896,0.916035,0.851311,0.562817,0.744733,0.593709,0.903924,0.798699,1,10,12
7,4,9,0.682084,0.972664,0.578949,0.648758,0.950326,0.638541,0.31298,0.844918,1,10,12
7,1,4,0.628035,0.946845,0.700364,0.433969,0.96514,0.412341,0.40289,0.997839,1,10,12
7,2,6,0.611238,0.77513,0.809021,0.888387,0.507162,0.195885,0.667617,0.950425,3,10,12
7,15,8,0.569764,0.918482,0.377884,0.587495,0.805235,0.635834,0.219775,0.535993,3,10,12
8,8,3,0.707464,0.95366,0.863992,0.484657,0.52806,0.810093,1.0,0.727984,1,10,12
8,3,5,0.699172,0.984951,0.72407,0.847928,0.6142,0.61329,0.738577,0.709562,1,10,12
8,6,2,0.689929,0.741496,0.776399,0.729718,0.650573,0.568527,0.817078,0.735719,3,10,12
8,7,7,0.687902,0.908544,0.851577,0.502333,0.690935,0.604786,0.903924,0.799231,1,10,12
8,4,9,0.665037,0.968799,0.586289,0.641971,0.855918,0.641032,0.31298,0.859598,2,10,12
8,1,4,0.623414,0.949427,0.700614,0.401027,0.995272,0.395758,0.40289,0.998337,1,10,12
8,2,6,0.617698,0.804921,0.79912,0.913688,0.523639,0.202161,0.667617,0.930624,2,10,12
8,15,8,0.577501,0.934366,0.37489,0.550739,0.896044,0.627732,0.219775,0.530005,3,10,12
9,6,1,0.737724,0.749569,0.652219,0.823348,0.837804,0.708867,0.359613,0.944826,4,9,12
9,2,6,0.685213,0.827578,0.926449,0.872238,0.638516,0.235222,0.944766,0.908131,3,9,12
9,8,3,0.682467,0.958234,0.865236,0.35909,0.433947,0.884107,1.0,0.730472,1,9,12
9,3,2,0.636375,0.944656,0.607224,0.723848,0.950732,0.35572,0.380637,0.833812,3,9,12
