frame_id,track_id_a,track_id_b,score_total,score_traj,score_rel,score_region,score_temp,conf_a,conf_b,consecutive_hits
44,4,6,0.805167,0.789513,0.937259,0.731542,0.5,0.8821,0.8618,3
45,4,6,0.808162,0.743789,0.947415,0.732996,0.6,0.8721,0.8501,4
46,4,6,0.822665,0.782923,0.932599,0.735577,0.7,0.8715,0.8043,5
47,4,6,0.819727,0.756619,0.914397,0.739255,0.8,0.8677,0.8452,6
49,13,8,0.740414,0.632452,0.938821,0.62709,0.5,0.6963,0.8585,3
50,13,8,0.749403,0.627833,0.938243,0.628591,0.6,0.6076,0.8369,4
51,4,6,0.79505,0.786582,0.902114,0.750234,0.5,0.8612,0.8124,3
51,13,8,0.761149,0.65427,0.924538,0.631065,0.7,0.6249,0.8351,5
52,4,6,0.797074,0.751224,0.902788,0.752612,0.6,0.8675,0.7888,4
52,13,8,0.766549,0.649376,0.915034,0.632768,0.8,0.6246,0.8363,6
53,4,6,0.808915,0.75769,0.904733,0.750398,0.7,0.8688,0.6313,5
53,13,8,0.764532,0.598949,0.915325,0.634661,0.9,0.6459,0.846,7
102,30,7,0.745858,0.539446,0.912058,0.784692,0.5,0.6347,0.856,3
103,30,7,0.747214,0.491642,0.919589,0.785874,0.6,0.6554,0.8668,4
104,30,7,0.753264,0.469088,0.921996,0.788775,0.7,0.6444,0.8676,5
105,30,7,0.774216,0.500943,0.928493,0.79033,0.8,0.667,0.8805,6
106,30,7,0.791459,0.52083,0.93315,0.791968,0.9,0.7103,0.8612,7
107,30,7,0.798435,0.503667,0.9353,0.793594,1.0,0.7036,0.8672,8
108,30,7,0.786712,0.458032,0.932847,0.796262,1.0,0.7084,0.8628,9
109,30,7,0.81944,0.505599,0.981724,0.801403,1.0,0.6922,0.8628,10
110,30,7,0.79962,0.475864,0.9495,0.803417,1.0,0.6549,0.8696,11
111,30,7,0.803613,0.495651,0.944893,0.806973,1.0,0.6328,0.8483,12
121,32,7,0.784445,0.747134,0.915777,0.725403,0.5,0.8636,0.7998,3
122,32,7,0.78848,0.735356,0.907367,0.726778,0.6,0.8624,0.7759,4
123,32,7,0.79632,0.763699,0.883998,0.727184,0.7,0.865,0.7715,5
124,32,7,0.777476,0.785094,0.799978,0.724844,0.8,0.8573,0.6894,6
204,30,45,0.768255,0.737821,0.959693,0.599691,0.5,0.8584,0.8559,3
205,30,45,0.768929,0.776805,0.913458,0.597378,0.6,0.8591,0.8568,4
206,30,45,0.792799,0.765952,0.956459,0.59491,0.7,0.8583,0.8527,5
210,30,73,0.77686,0.641128,0.948972,0.747955,0.5,0.8645,0.8029,3
211,30,73,0.781275,0.642556,0.933454,0.749015,0.6,0.8601,0.805,4
212,30,73,0.785188,0.620964,0.931771,0.748954,0.7,0.8646,0.8049,5
