frame,global_id,cam,local_id,cls_id,x1,y1,x2,y2,cx,cy_bottom,score
3,1,A,1,3,894.22,499.9,1045.22,587.07,969.72,587.07,0.8609
3,1,B,2,3,268.69,393.42,342.07,457.54,305.38,457.54,0.8448
3,2,A,2,3,413.34,355.09,479.47,403.6,446.41,403.6,0.8642
3,2,B,16,3,530.34,674.0,656.38,720.0,593.36,720.0,0.391
3,3,A,3,3,183.91,399.24,299.84,468.49,241.87,468.49,0.8729
3,3,B,6,3,709.69,370.42,777.28,407.57,743.49,407.57,0.8488
3,4,A,4,3,501.95,311.28,542.63,341.28,522.29,341.28,0.7947
3,4,B,8,3,477.28,330.52,512.5,360.41,494.89,360.41,0.8009
3,5,A,5,3,692.89,349.85,745.92,394.13,719.4,394.13,0.8028
3,5,B,5,3,343.55,429.56,429.48,506.41,386.51,506.41,0.856
3,6,A,6,3,175.17,365.97,269.64,420.89,222.41,420.89,0.8028
3,6,B,12,3,1203.71,478.66,1280.0,545.82,1241.86,545.82,0.7516
3,7,A,7,3,200.53,316.28,256.75,351.64,228.64,351.64,0.8061
3,7,B,10,3,601.55,323.84,635.08,347.93,618.31,347.93,0.7764
3,8,A,8,3,33.46,350.1,141.89,399.7,87.68,399.7,0.7941
3,8,B,13,3,990.06,361.22,1087.36,396.38,1038.71,396.38,0.7065
3,9,A,9,3,650.91,309.45,680.99,334.18,665.95,334.18,0.7846
3,9,B,14,3,413.41,317.38,443.88,345.05,428.64,345.05,0.7667
3,10,A,10,3,593.41,322.32,628.29,352.37,610.85,352.37,0.773
3,10,B,1,3,480.97,377.06,536.35,429.23,508.66,429.23,0.8562
3,11,A,11,3,459.79,299.54,499.47,327.44,479.63,327.44,0.7685
3,11,B,18,3,531.63,275.79,547.55,288.54,539.59,288.54,0.6379
3,12,A,12,3,0.16,617.93,74.83,719.98,37.49,719.98,0.7747
3,12,B,4,3,1074.92,500.58,1260.43,579.61,1167.68,579.61,0.8822
3,13,A,13,3,610.09,283.88,634.88,304.17,622.48,304.17,0.7197
3,13,B,11,3,524.38,296.95,547.69,317.03,536.04,317.03,0.7662
3,14,A,14,3,659.28,275.53,677.01,289.68,668.15,289.68,0.7093
3,14,B,15,3,548.65,287.89,566.88,301.8,557.76,301.8,0.7258
3,15,A,15,3,457.27,264.98,497.07,290.19,477.17,290.19,0.5971
3,15,B,21,3,958.98,356.32,1032.06,383.8,995.52,383.8,0.5662
3,16,A,16,3,588.69,252.96,608.65,269.21,598.67,269.21,0.5793
3,16,B,20,3,352.29,282.86,385.42,305.9,368.85,305.9,0.5593
3,17,A,17,3,655.81,253.68,668.4,263.42,662.11,263.42,0.4683
3,17,B,9,3,569.75,337.56,611.93,368.52,590.84,368.52,0.7527
3,18,A,18,3,637.36,252.42,649.48,262.7,643.42,262.7,0.5532
3,18,B,19,3,457.87,268.56,471.5,281.69,464.69,281.69,0.638
3,19,A,19,3,649.48,239.29,660.36,247.27,654.92,247.27,0.3638
3,19,B,22,3,511.58,264.06,525.46,275.05,518.52,275.05,0.5491
3,20,A,20,3,659.3,247.54,673.03,258.2,666.17,258.2,0.4237
3,20,B,23,3,269.88,295.63,297.89,315.03,283.88,315.03,0.5094
4,4,A,4,3,502.78,311.63,542.76,341.81,522.77,341.81,0.7948
4,4,B,8,3,477.96,331.5,513.32,361.51,495.64,361.51,0.7867
4,9,A,9,3,652.0,308.74,681.85,333.2,666.93,333.2,0.7853
4,9,B,14,3,413.6,318.69,444.36,345.7,428.98,345.7,0.7666
4,11,A,11,3,459.43,299.74,499.64,328.04,479.54,328.04,0.7704
4,11,B,18,3,533.0,275.49,548.61,288.22,540.8,288.22,0.641
4,13,A,13,3,611.49,282.95,636.24,303.23,623.86,303.23,0.7157
4,13,B,11,3,524.97,296.48,548.22,316.74,536.59,316.74,0.7775
4,14,A,14,3,660.27,274.93,677.4,288.95,668.84,288.95,0.6954
4,14,B,15,3,548.86,287.74,567.23,301.69,558.04,301.69,0.715
4,16,A,16,3,588.47,252.52,609.08,269.13,598.78,269.13,0.5926
4,16,B,20,3,353.13,279.7,386.08,306.34,369.61,306.34,0.5944
4,17,A,17,3,656.58,253.98,667.97,262.85,662.28,262.85,0.2873
4,17,B,9,3,569.18,336.86,611.06,367.79,590.12,367.79,0.7675
4,18,A,18,3,637.06,251.82,650.47,262.4,643.77,262.4,0.4982
4,18,B,19,3,458.75,268.69,472.46,282.03,465.6,282.03,0.6179
5,4,A,4,3,503.11,312.21,543.35,342.63,523.23,342.63,0.8059
5,4,B,8,3,478.56,332.37,514.05,362.69,496.31,362.69,0.7695
