frame_id,track_id_a,track_id_b,score_total,score_traj,score_rel,score_temp
1,1,16,0.833734,1.0,0.879517,0.0
1,2,1,0.806034,1.0,0.829153,0.0
1,3,21,0.878793,1.0,0.961442,0.0
1,4,20,0.84788,1.0,0.905237,0.0
1,5,4,0.77303,1.0,0.769146,0.0
1,6,13,0.863019,1.0,0.932762,0.0
1,7,18,0.813724,1.0,0.843135,0.0
1,8,7,0.841509,1.0,0.893652,0.0
1,9,2,0.824146,1.0,0.862083,0.0
1,10,6,0.815548,1.0,0.84645,0.0
1,11,9,0.825482,1.0,0.864513,0.0
1,12,3,0.839459,1.0,0.889926,0.0
1,13,8,0.835682,1.0,0.883059,0.0
1,14,17,0.81412,1.0,0.843855,0.0
1,15,19,0.820864,1.0,0.856117,0.0
1,16,14,0.792964,1.0,0.80539,0.0
1,17,10,0.82382,1.0,0.861491,0.0
1,18,23,0.779946,1.0,0.78172,0.0
1,19,22,0.840052,1.0,0.891004,0.0
1,20,12,0.806875,1.0,0.830682,0.0
2,1,16,0.878523,1.0,0.88277,0.43
2,2,6,0.827702,1.0,0.868548,0.0
2,3,4,0.863587,1.0,0.933795,0.0
2,4,20,0.833933,1.0,0.801697,0.43
2,5,3,0.775581,0.857467,0.864486,0.0
2,6,2,0.766373,1.0,0.757041,0.0
2,7,7,0.833545,0.999999,0.879173,0.0
2,8,12,0.790315,1.0,0.800573,0.0
2,9,19,0.749824,0.857467,0.817656,0.0
2,10,1,0.763361,1.0,0.751566,0.0
2,11,21,0.806631,1.0,0.830238,0.0
2,12,5,0.729214,1.0,0.68948,0.0
2,13,8,0.804404,0.857468,0.838709,0.43
2,14,15,0.824857,0.999998,0.863377,0.0
2,15,10,0.771248,1.0,0.765905,0.0
2,16,14,0.816041,0.857468,0.859867,0.43
2,17,18,0.839634,1.0,0.890243,0.0
2,18,23,0.809942,0.999999,0.758078,0.43
2,19,9,0.707835,1.0,0.65061,0.0
2,20,22,0.757567,0.857468,0.831733,0.0
3,1,16,0.889126,0.982539,0.898613,0.51
3,2,6,0.786756,0.959522,0.741678,0.43
3,4,23,0.776905,0.939089,0.814953,0.0
3,5,3,0.782965,0.720244,0.887054,0.43
3,6,20,0.767796,0.835512,0.864302,0.0
3,7,21,0.795583,0.941962,0.847084,0.0
3,8,12,0.761627,0.754036,0.826753,0.43
3,9,2,0.791423,0.86295,0.826164,0.35
3,10,1,0.814376,0.962028,0.790302,0.43
3,11,7,0.77817,0.931437,0.822121,0.0
3,12,5,0.788283,0.988405,0.726075,0.43
3,13,8,0.81566,0.839981,0.855757,0.51
3,14,19,0.772361,0.873659,0.848328,0.0
3,15,22,0.829411,0.966943,0.892692,0.0
3,16,14,0.836694,0.867635,0.876402,0.51
3,17,10,0.835579,0.949819,0.851168,0.35
3,18,15,0.714767,0.781551,0.802225,0.0
3,19,13,0.702772,0.815642,0.758722,0.0
4,2,6,0.769027,0.75556,0.824692,0.51
4,4,22,0.744271,0.879794,0.793352,0.0
4,5,3,0.758268,0.607315,0.899468,0.51
4,6,20,0.71988,0.815611,0.711666,0.43
4,7,18,0.730399,0.776593,0.770167,0.35
4,8,7,0.756782,0.67847,0.880577,0.35
4,9,2,0.724093,0.628854,0.823626,0.51
4,10,1,0.837918,0.962391,0.81833,0.51
4,11,19,0.743537,0.699963,0.906454,0.0
4,12,5,0.77897,0.986207,0.695995,0.51
4,14,17,0.743018,0.713958,0.832969,0.35
4,15,21,0.720426,0.907869,0.73213,0.0
5,2,6,0.741143,0.660815,0.819742,0.59
5,3,4,0.702063,0.72271,0.752935,0.35
5,4,22,0.78647,0.815669,0.832702,0.43
5,5,3,0.763437,0.572572,0.916431,0.59
5,7,18,0.705754,0.758567,0.707737,0.51
5,8,7,0.757834,0.556929,0.930744,0.51
5,10,1,0.775918,0.873893,0.747373,0.59
5,11,19,0.758462,0.637106,0.895409,0.43
5,12,5,0.731221,0.85229,0.679853,0.59
5,14,23,0.737916,0.7919,0.837729,0.0
5,16,14,0.717495,0.71744,0.784347,0.35
6,2,2,0.724472,0.725547,0.85551,0.0
6,4,22,0.78862,0.779516,0.845071,0.51
6,7,18,0.713949,0.763161,0.705168,0.59
6,8,12,0.722677,0.591649,0.873819,0.35
6,10,1,0.797903,0.822586,0.805451,0.67
6,11,19,0.722687,0.637544,0.815539,0.51
6,14,17,0.745116,0.779184,0.795277,0.35
6,15,10,0.70445,0.558881,0.897894,0.15
6,16,14,0.833038,0.7651,0.905914,0.67
7,2,2,0.752318,0.727813,0.826516,0.43
7,4,22,0.768405,0.68716,0.852544,0.59
7,7,7,0.773762,0.734297,0.912287,0.15
7,8,12,0.782073,0.607173,0.928295,0.59
7,10,1,0.792095,0.818144,0.783171,0.75
7,11,19,0.722025,0.651141,0.791137,0.59
7,14,23,0.716023,0.755083,0.757717,0.35
7,15,10,0.718592,0.531242,0.87574,0.51
7,16,14,0.835274,0.746218,0.90745,0.75
8,2,2,0.740144,0.739907,0.782139,0.51
8,3,4,0.795463,0.766327,0.894998,0.35
8,4,22,0.804139,0.701877,0.893604,0.67
8,5,6,0.726052,0.637317,0.914529,0.0
8,7,3,0.735963,0.733002,0.871658,0.0
8,10,1,0.830137,0.832651,0.828563,0.83
8,11,19,0.761371,0.663921,0.839998,0.67
8,14,23,0.71893,0.723549,0.753977,0.51
8,15,10,0.718639,0.537883,0.857055,0.59
8,16,14,0.815248,0.742823,0.858654,0.83
9,2,2,0.730794,0.721547,0.762277,0.59
9,3,4,0.800948,0.762548,0.863738,0.59
9,4,22,0.800969,0.693724,0.878483,0.75
9,5,6,0.754912,0.621059,0.899166,0.43
9,7,18,0.736767,0.747046,0.800547,0.35
9,8,12,0.760164,0.566331,0.958087,0.35
9,10,1,0.775671,0.802424,0.734223,0.91
9,11,19,0.791391,0.678696,0.870631,0.75
9,14,23,0.720075,0.685458,0.765753,0.59
9,16,14,0.792667,0.741867,0.803661,0.91
10,2,2,0.757788,0.74227,0.783624,0.67
10,3,4,0.766224,0.772437,0.779766,0.67
10,4,22,0.733509,0.691029,0.742998,0.83
10,5,6,0.767493,0.639954,0.89547,0.51
10,7,7,0.758969,0.718909,0.858819,0.35
10,9,20,0.710304,0.655317,0.874441,0.0
10,10,1,0.786693,0.806594,0.737063,0.99
10,11,19,0.731121,0.66919,0.752555,0.83
10,16,14,0.794634,0.743288,0.791787,0.99
10,27,26,0.701929,1.0,0.639871,0.0
11,2,2,0.719678,0.726854,0.709599,0.75
11,3,4,0.834646,0.74947,0.90424,0.75
11,4,22,0.722902,0.697656,0.70495,0.91
11,5,6,0.702004,0.639257,0.762297,0.59
11,6,17,0.715041,0.649016,0.887064,0.0
11,7,18,0.727709,0.730921,0.79434,0.35
11,8,12,0.724078,0.605645,0.867459,0.35
11,9,20,0.712216,0.63622,0.81189,0.43
11,10,1,0.812345,0.819007,0.773986,1.0
11,11,19,0.767025,0.686575,0.792225,0.91
11,14,7,0.703171,0.62909,0.878162,0.0
11,16,14,0.779465,0.728554,0.771765,1.0
11,25,5,0.748842,0.728748,0.897783,0.0
11,27,26,0.730797,1.0,0.614176,0.43
12,2,2,0.737802,0.746157,0.715722,0.83
12,3,4,0.821803,0.77273,0.851541,0.83
12,5,6,0.753391,0.643031,0.838783,0.67
12,6,17,0.723657,0.651701,0.822839,0.43
12,7,18,0.724154,0.745204,0.691514,0.83
12,8,12,0.717134,0.588393,0.77854,0.83
12,9,20,0.711281,0.655975,0.783071,0.51
12,10,1,0.827094,0.844269,0.784727,1.0
12,11,19,0.792367,0.72324,0.800423,0.99
12,14,7,0.714889,0.593947,0.84365,0.43
12,16,14,0.739752,0.672955,0.734941,1.0
12,25,26,0.812468,0.785809,0.977154,0.0
13,2,2,0.724308,0.689462,0.71272,0.91
13,3,4,0.817123,0.758019,0.837847,0.91
13,5,6,0.774514,0.671911,0.844264,0.75
13,6,17,0.718424,0.619072,0.819544,0.51
13,7,18,0.737424,0.732026,0.709482,0.91
13,8,12,0.825877,0.601946,0.953084,0.91
13,10,1,0.819704,0.802703,0.797741,1.0
13,11,19,0.829042,0.715948,0.869927,1.0
13,16,14,0.780923,0.710246,0.786068,1.0
13,25,26,0.850405,0.79401,0.96273,0.43
14,2,2,0.733713,0.721539,0.694862,0.99
14,3,4,0.769832,0.764005,0.733509,0.99
14,4,11,0.7254,0.707666,0.868576,0.0
14,5,6,0.738999,0.665477,0.769239,0.83
14,6,17,0.710909,0.637539,0.779582,0.59
14,7,18,0.74661,0.730677,0.712496,0.99
14,8,12,0.707963,0.583781,0.735709,0.99
14,10,1,0.762668,0.80131,0.694926,1.0
14,11,19,0.779347,0.72056,0.776639,1.0
14,16,14,0.730058,0.701077,0.699421,1.0
14,25,26,0.739136,0.743679,0.777906,0.51
14,28,27,0.795098,1.0,0.809269,0.0
15,3,4,0.742058,0.782866,0.669191,1.0
15,4,11,0.772499,0.666522,0.902211,0.43
15,6,17,0.727221,0.614493,0.809361,0.67
15,7,18,0.77182,0.745149,0.747305,1.0
15,8,12,0.721448,0.598511,0.749035,1.0
15,10,1,0.776692,0.791045,0.726956,1.0
15,11,19,0.818384,0.706519,0.856551,1.0
15,16,14,0.747953,0.693847,0.736558,1.0
15,25,26,0.760549,0.766221,0.787948,0.59
15,28,27,0.827022,1.0,0.789131,0.43
16,3,4,0.756929,0.74574,0.719855,1.0
16,5,6,0.714262,0.658063,0.816255,0.35
16,6,17,0.71285,0.608003,0.772817,0.75
16,7,18,0.740209,0.756917,0.682341,1.0
16,8,12,0.81535,0.583012,0.929628,1.0
16,10,1,0.777175,0.790092,0.728442,1.0
16,11,19,0.777124,0.756217,0.749906,1.0
16,16,14,0.782537,0.71887,0.783514,1.0
16,25,26,0.810505,0.772304,0.860361,0.67
17,3,4,0.733139,0.75201,0.67261,1.0
17,4,11,0.706875,0.657508,0.803176,0.35
17,5,6,0.762866,0.642778,0.797988,0.99
17,6,17,0.717855,0.608326,0.767165,0.83
17,7,7,0.748339,0.696726,0.917246,0.0
17,8,12,0.833117,0.623942,0.935887,1.0
17,10,1,0.796855,0.763842,0.780928,1.0
17,11,19,0.772556,0.726478,0.760525,1.0
17,16,14,0.778598,0.658005,0.815085,1.0
17,25,26,0.806133,0.776335,0.835302,0.75
18,2,9,0.732256,0.697059,0.887791,0.0
18,3,4,0.75367,0.742846,0.71577,1.0
18,4,11,0.722945,0.659945,0.787208,0.59
18,5,6,0.782093,0.698582,0.795617,1.0
18,6,17,0.724273,0.590686,0.775514,0.91
18,7,7,0.740687,0.658849,0.849254,0.43
18,8,12,0.827545,0.614941,0.931484,1.0
18,10,1,0.800056,0.804323,0.760988,1.0
18,11,19,0.801156,0.727372,0.811956,1.0
18,14,22,0.701928,0.596296,0.896771,0.0
18,16,14,0.800228,0.712053,0.820017,1.0
18,25,26,0.850647,0.772733,0.903983,0.83
19,2,9,0.749403,0.688776,0.846058,0.43
19,3,4,0.758546,0.784056,0.698412,1.0
19,4,11,0.7302,0.667388,0.781116,0.67
19,5,6,0.793913,0.699351,0.816619,1.0
19,6,17,0.728745,0.580672,0.775472,0.99
19,7,15,0.706725,0.771012,0.794311,0.0
19,8,12,0.796008,0.632143,0.863196,1.0
19,10,1,0.795177,0.780631,0.767194,1.0
19,11,19,0.7739,0.673116,0.796927,1.0
19,14,20,0.713191,0.587561,0.922808,0.0
19,16,14,0.796141,0.692929,0.824756,1.0
19,25,26,0.848113,0.748465,0.900274,0.91
20,3,4,0.763467,0.801454,0.696288,1.0
20,4,11,0.740971,0.675686,0.780875,0.75
20,5,6,0.797303,0.695054,0.825516,1.0
20,6,17,0.763677,0.600277,0.824691,1.0
20,7,15,0.728646,0.710794,0.794306,0.43
20,8,12,0.792899,0.6286,0.859798,1.0
20,10,1,0.767455,0.790397,0.710575,1.0
20,11,19,0.780194,0.691114,0.796916,1.0
20,14,20,0.717269,0.605045,0.840915,0.43
20,16,14,0.732955,0.661127,0.73011,1.0
20,25,26,0.867237,0.748632,0.920392,0.99
20,18,9,0.700894,0.674812,0.844927,0.0
21,4,11,0.754528,0.671296,0.793772,0.83
21,5,6,0.763808,0.691887,0.766633,1.0
21,6,17,0.77572,0.651399,0.814055,1.0
21,8,12,0.762154,0.639543,0.796935,1.0
21,10,1,0.780023,0.812549,0.719328,1.0
21,11,19,0.789384,0.700658,0.807553,1.0
21,16,14,0.717488,0.615814,0.730824,1.0
21,25,26,0.810942,0.757185,0.810777,1.0
21,18,9,0.729629,0.640241,0.84099,0.43
21,32,29,0.787196,1.0,0.794901,0.0
22,4,11,0.760446,0.654728,0.80053,0.91
22,5,6,0.808482,0.709407,0.836709,1.0
22,6,17,0.757837,0.580449,0.826692,1.0
22,8,12,0.763286,0.649629,0.792574,1.0
22,10,1,0.752532,0.758476,0.703756,1.0
22,11,19,0.798182,0.698148,0.825146,1.0
22,16,14,0.736133,0.66514,0.733334,1.0
22,25,26,0.811806,0.758871,0.811275,1.0
22,18,9,0.748902,0.676811,0.838216,0.51
22,32,29,0.822453,1.0,0.780824,0.43
23,4,11,0.750073,0.646609,0.77229,0.99
23,5,6,0.83508,0.762691,0.85116,1.0
23,6,17,0.737154,0.594656,0.780045,1.0
23,8,12,0.781662,0.607824,0.852588,1.0
23,10,1,0.785582,0.752428,0.767694,1.0
23,11,19,0.800362,0.703413,0.82576,1.0
23,14,20,0.725795,0.584084,0.884302,0.35
23,23,22,0.709161,0.610715,0.900746,0.0
23,25,26,0.814341,0.763412,0.812993,1.0
23,18,9,0.751045,0.706889,0.808425,0.59
23,32,29,0.738877,0.740883,0.779214,0.51
24,1,2,0.76327,0.769275,0.898224,0.0
24,4,11,0.747321,0.661869,0.755758,1.0
24,5,6,0.824354,0.722063,0.857513,1.0
24,8,12,0.773919,0.657892,0.806649,1.0
24,10,1,0.799764,0.743283,0.799301,1.0
24,11,19,0.793985,0.648657,0.849008,1.0
24,14,20,0.724726,0.602092,0.827262,0.59
24,23,22,0.711008,0.608354,0.827426,0.43
24,25,26,0.833153,0.769516,0.843314,1.0
24,28,5,0.7283,0.671543,0.896836,0.0
25,1,2,0.76791,0.743247,0.845043,0.43
25,4,11,0.732463,0.690942,0.710242,1.0
25,5,6,0.843289,0.797337,0.844038,1.0
25,9,14,0.709722,0.64023,0.882984,0.0
25,10,1,0.796463,0.776924,0.771891,1.0
25,11,19,0.806381,0.685566,0.84806,1.0
25,14,20,0.760926,0.594172,0.883574,0.67
25,23,22,0.715292,0.635153,0.803614,0.51
25,25,26,0.799674,0.770071,0.782089,1.0
25,18,9,0.746674,0.721059,0.835097,0.35
25,28,5,0.78289,0.69454,0.903275,0.43
25,20,23,0.70419,0.597455,0.900147,0.0
26,1,2,0.724704,0.714435,0.770276,0.51
26,4,11,0.741016,0.699893,0.720097,1.0
26,5,6,0.801927,0.693935,0.834636,1.0
26,7,7,0.704158,0.702962,0.832947,0.0
26,9,14,0.728339,0.602491,0.862668,0.43
26,10,1,0.757196,0.751688,0.716556,1.0
26,11,19,0.811784,0.692857,0.853244,1.0
26,14,20,0.72659,0.570448,0.821696,0.75
26,25,26,0.866659,0.794277,0.888477,1.0
26,18,9,0.754103,0.728299,0.771269,0.75
26,28,5,0.746332,0.670407,0.837618,0.51
26,20,23,0.710572,0.547801,0.865166,0.43
27,1,2,0.734063,0.713224,0.773518,0.59
27,4,11,0.721423,0.637162,0.724393,1.0
27,5,6,0.785121,0.706945,0.795801,1.0
27,7,7,0.717611,0.634133,0.823026,0.43
27,9,14,0.753816,0.632432,0.87539,0.51
27,10,1,0.771004,0.786803,0.719314,1.0
27,11,19,0.816506,0.675347,0.872973,1.0
27,14,20,0.737283,0.593201,0.812115,0.83
27,25,26,0.877369,0.8606,0.865743,1.0
27,18,9,0.771064,0.7384,0.781135,0.83
27,28,5,0.762075,0.694553,0.836329,0.59
27,20,23,0.717927,0.55648,0.858472,0.51
28,1,2,0.740983,0.727568,0.762426,0.67
28,4,11,0.767011,0.641713,0.804385,1.0
28,5,6,0.786702,0.702159,0.80172,1.0
28,7,7,0.721084,0.700978,0.772257,0.51
