frame_id,track_id_a,track_id_b,score_total,score_graph,score_temp,score_center,num_valid_a,num_valid_b
1,2,1,0.621158,0.702431,0.0,0.655877,11,16
1,4,8,0.616826,0.691975,0.0,0.707538,11,16
1,5,6,0.594679,0.656577,0.0,0.788927,11,16
1,6,7,0.565853,0.666245,0.0,0.330758,11,16
1,7,3,0.568931,0.673011,0.0,0.300766,11,16
1,9,10,0.692741,0.762518,0.0,0.942581,11,16
1,10,9,0.696277,0.770971,0.0,0.901235,11,16
1,11,14,0.588526,0.666127,0.0,0.615363,11,16
1,15,20,0.575063,0.653876,0.0,0.571058,11,16
2,2,1,0.682201,0.720522,0.42,0.656227,11,15
2,4,8,0.651576,0.677531,0.42,0.708494,11,15
2,5,6,0.620655,0.631499,0.42,0.787818,11,15
2,6,7,0.615507,0.670374,0.42,0.330063,11,15
2,7,3,0.623285,0.682855,0.42,0.300971,11,15
2,9,10,0.744281,0.769038,0.42,0.941249,11,15
2,10,9,0.731651,0.757197,0.42,0.903206,11,15
2,11,14,0.625145,0.653952,0.42,0.616714,11,15
2,15,20,0.599773,0.627027,0.42,0.572045,11,15
3,2,1,0.692518,0.72369,0.49,0.656534,11,15
3,4,8,0.653161,0.669802,0.49,0.709913,11,15
3,5,6,0.633595,0.637755,0.49,0.789654,11,15
3,6,7,0.623706,0.671047,0.49,0.329131,11,15
3,7,3,0.63084,0.682647,0.49,0.300906,11,15
3,9,10,0.746411,0.762256,0.49,0.939907,11,15
3,10,9,0.735111,0.752019,0.49,0.902263,11,15
3,11,14,0.630766,0.651313,0.49,0.617086,11,15
3,15,20,0.612521,0.633087,0.49,0.573476,11,15
4,2,1,0.68767,0.708113,0.56,0.656976,11,16
4,4,8,0.665619,0.675533,0.56,0.711042,11,16
4,5,6,0.654527,0.654034,0.56,0.789966,11,16
4,6,7,0.627943,0.666893,0.56,0.327521,11,16
4,7,3,0.630084,0.672196,0.56,0.300617,11,16
4,9,10,0.740893,0.746036,0.56,0.93847,11,16
4,10,9,0.739474,0.747778,0.56,0.903106,11,16
4,11,14,0.646023,0.660596,0.56,0.617263,11,16
4,15,20,0.642538,0.660549,0.56,0.574168,11,16
5,2,1,0.698035,0.711326,0.63,0.657422,11,15
5,4,8,0.668135,0.668993,0.63,0.712081,11,15
5,5,6,0.657973,0.648663,0.63,0.7908,11,15
5,6,7,0.638068,0.669986,0.63,0.326194,11,15
5,7,3,0.643785,0.679597,0.63,0.300391,11,15
5,9,10,0.757142,0.75671,0.63,0.936979,11,15
5,10,9,0.744552,0.744397,0.63,0.904207,11,15
