frame_id,track_id_a,track_id_b,score_total,score_graph,score_temp,score_center,num_valid_a,num_valid_b,best_total_score
1,1,12,0.700999,0.700999,0.0,0.0,10,12,6.060936
1,5,13,0.619978,0.619978,0.0,0.0,10,12,6.060936
1,10,21,0.58191,0.58191,0.0,0.0,10,12,6.060936
1,4,9,0.625042,0.625042,0.0,0.0,10,12,6.060936
1,2,1,0.716793,0.716793,0.0,0.0,10,12,6.060936
1,3,5,0.565797,0.565797,0.0,0.0,10,12,6.060936
1,6,2,0.643806,0.643806,0.0,0.0,10,12,6.060936
1,7,7,0.771514,0.771514,0.0,0.0,10,12,6.060936
1,8,3,0.835097,0.835097,0.0,0.0,10,12,6.060936
2,1,12,0.702635,0.702635,0.0,0.0,10,12,5.382333
2,5,13,0.616767,0.616767,0.0,0.0,10,12,5.382333
2,11,9,0.566297,0.566297,0.0,0.0,10,12,5.382333
2,2,1,0.688595,0.688595,0.0,0.0,10,12,5.382333
2,3,5,0.570128,0.570128,0.0,0.0,10,12,5.382333
2,6,2,0.640741,0.640741,0.0,0.0,10,12,5.382333
2,7,7,0.772398,0.772398,0.0,0.0,10,12,5.382333
2,8,3,0.824772,0.824772,0.0,0.0,10,12,5.382333
3,1,12,0.704598,0.704598,0.0,0.0,10,12,5.950742
3,5,13,0.616919,0.616919,0.0,0.0,10,12,5.950742
3,4,21,0.552263,0.552263,0.0,0.0,10,12,5.950742
3,11,9,0.591009,0.591009,0.0,0.0,10,12,5.950742
3,2,1,0.685723,0.685723,0.0,0.0,10,12,5.950742
3,3,5,0.570099,0.570099,0.0,0.0,10,12,5.950742
3,6,2,0.637236,0.637236,0.0,0.0,10,12,5.950742
3,7,7,0.770257,0.770257,0.0,0.0,10,12,5.950742
3,8,3,0.822637,0.822637,0.0,0.0,10,12,5.950742
4,1,12,0.741466,0.741466,0.0,0.0,10,12,5.473968
4,5,6,0.662323,0.662323,0.0,0.0,10,12,5.473968
4,4,9,0.653176,0.653176,0.0,0.0,10,12,5.473968
4,11,8,0.641333,0.641333,0.0,0.0,10,12,5.473968
4,3,5,0.567255,0.567255,0.0,0.0,10,12,5.473968
4,6,2,0.650227,0.650227,0.0,0.0,10,12,5.473968
4,7,7,0.758415,0.758415,0.0,0.0,10,12,5.473968
4,8,3,0.799774,0.799774,0.0,0.0,10,12,5.473968
5,1,12,0.744607,0.744607,0.0,0.0,9,12,5.314769
5,5,6,0.624761,0.624761,0.0,0.0,9,12,5.314769
5,15,9,0.612864,0.612864,0.0,0.0,9,12,5.314769
5,2,1,0.583835,0.583835,0.0,0.0,9,12,5.314769
5,3,5,0.556652,0.556652,0.0,0.0,9,12,5.314769
5,6,2,0.652408,0.652408,0.0,0.0,9,12,5.314769
5,7,7,0.733241,0.733241,0.0,0.0,9,12,5.314769
5,8,3,0.806402,0.806402,0.0,0.0,9,12,5.314769
6,1,12,0.686219,0.686219,0.0,0.0,9,12,6.082444
6,5,21,0.594935,0.594935,0.0,0.0,9,12,6.082444
6,4,6,0.581481,0.581481,0.0,0.0,9,12,6.082444
6,15,9,0.64543,0.64543,0.0,0.0,9,12,6.082444
6,2,1,0.635028,0.635028,0.0,0.0,9,12,6.082444
6,3,5,0.647614,0.647614,0.0,0.0,9,12,6.082444
6,6,2,0.742106,0.742106,0.0,0.0,9,12,6.082444
6,7,7,0.751574,0.751574,0.0,0.0,9,12,6.082444
6,8,3,0.798054,0.798054,0.0,0.0,9,12,6.082444
7,1,12,0.732087,0.732087,0.0,0.0,10,12,6.112847
